*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
☿,Mercury,0,"2,440 km",0.387 AU,0.206,7.005°,29.124°,48.331°,174.796°,5.427 g/cm3,,,,,,,,,,,,2,1
♀,Venus,0,"6,052 km",0.723 AU,0.007,3.395°,54.884°,76.689°,50.115°,5.243 g/cm3,,,,,,,,,,,,3,2
TRJN,2013 ND15,0,50 m,0.724 AU,0.612,4.796°,19.697°,95.841°,198.82°,?,,,,,,,,,,,,4,2
NEO,Apophis,0,185 m,0.923 AU,0.191,3.339°,126.6°,203.96°,142.9°,?,,,,,,,,,,,,5,4
TRJN,2010 TK7,0,190 m,1 AU,0.191,20.89°,45.927°,96.498°,354.14°,?,,,,,,,,,,,,6,3
⊕,Earth,1,"6,371 km",1 AU,0.017,0°,114.208°,-11.261°,358.617°,5.513 g/cm3,,,,,,,,,,,,7,3
*,☾,Moon,"1,737 km","384,399 km",0.055,5.145°,,,,3.344 g/cm3,,,,,,,,,,,,8,3
TRJN,2020 XL5,0,590 m,1.001 AU,0.387,13.847°,87.981°,153.598°,316.42°,?,,,,,,,,,,,,9,3
NEO,Bennu,0,245 m,1.126 AU,0.204,6.035°,66.223°,2.061°,101.704°,1.19 g/cm3,,,,,,,,,,,,10,4
NEO,Ryugu,0,448 m,1.19 AU,0.19,5.884°,211.43°,251.62°,3.983°,1.19 g/cm3,,,,,,,,,,,,11,4
NEO,Phæthon,0,3 km,1.271 AU,0.89,22.260°,322.19°,265.22°,313.94°,?,,,,,,,,,,,,12,4
NEO,Itokawa,0,157 m,1.324 AU,0.28,1.621°,162.82°,69.081°,288.88°,1.925 g/cm3,,,,,,,,,,,,13,4
NEO,Eros,0,8 km,1.458 AU,0.223,10.828°,178.82°,304.32°,71.28°,2.67 g/cm3,,,,,,,,,,,,14,4
TRJN,Eureka,1,650 m,1.524 AU,0.065,20.28°,95.456°,245.057°,145.29°,?,,,,,,,,,,,,15,5
*,☾,S/2011 (5261) 1,230 m,2 km,?,?,,,,?,,,,,,,,,,,,16,5
♂,Mars,2,"3,390 km",1.524 AU,0.093,1.85°,286.5°,49.579°,19.412°,3.934 g/cm3,,,,,,,,,,,,17,5
*,☾,Phobos,11 km,"9,376 km",0.015,26.04°,,,,1.861 g/cm3,,,,,,,,,,,,18,5
*,☾,Deimos,6 km,"23,463 km",0,27.58°,,,,1.465 g/cm3,,,,,,,,,,,,19,5
TRJN,2007 NS2,0,400 m,1.524 AU,0.54,18.62°,176.949°,282.495°,29.477°,?,,,,,,,,,,,,20,5
TRJN,2001 DH47,0,281 m,1.524 AU,0.035,24.402°,17.549°,147.422°,322.371°,?,,,,,,,,,,,,21,5
TRJN,1998 VF31,0,605 m,1.524 AU,0.1,31.296°,310.566°,221.318°,301.395°,?,,,,,,,,,,,,22,5
TRJN,1999 UJ7,0,1 km,1.524 AU,0.039,16.75°,48.358°,347.377°,229.928°,?,,,,,,,,,,,,23,5
NEO,Didymos,1,765 m,1.644 AU,0.384,3.408°,319.32°,73.196°,232.01°,2.4 g/cm3,,,,,,,,,,,,24,4
*,☾,Dimorphos,151 m,1 km,0.025,169.3°,,,,1.525 g/cm3,,,,,,,,,,,,25,4
NEO,Amor,0,464 m,1.919 AU,0.436,11.879°,26.656°,171.34°,102.03°,?,,,,,,,,,,,,26,4
ASTR,Flora,0,73 km,2.2 AU,0.157,5.89°,285.4°,110.85°,78.2°,2.72 g/cm3,,,,,,,,,,,,27,6
ASTR,Gaspra,0,6 km,2.21 AU,0.173,4.106°,129.94°,253.06°,232.83°,2.7 g/cm3,,,,,,,,,,,,28,6
ASTR,Harmonia,0,56 km,2.268 AU,0.046,4.256°,268.988°,94.287°,249.12°,2.867 g/cm3,,,,,,,,,,,,29,6
ASTR,Melpomene,0,71 km,2.295 AU,0.218,10.132°,228.05°,150.34°,113.871°,2.375 g/cm3,,,,,,,,,,,,30,6
ASTR,Zelinda,0,64 km,2.297 AU,0.232,18.125°,214.008°,278.46°,51.905°,1.23 g/cm3,,,,,,,,,,,,31,6
ASTR,Victoria,0,58 km,2.33 AU,0.22,8.374°,69.55°,235.36°,326.4°,2.925 g/cm3,,,,,,,,,,,,32,6
⚶,Vesta,0,263 km,2.36 AU,0.089,7.142°,151.66°,103.71°,169.4°,3.465 g/cm3,,,,,,,,,,,,33,6
ASTR,Nemausa,0,75 km,2.365 AU,0.066,9.972°,2.82°,176.168°,316.668°,1.815 g/cm3,,,,,,,,,,,,34,6
ASTR,Urania,0,44 km,2.367 AU,0.126,2.097°,86.56°,307.82°,196.549°,3.81 g/cm3,,,,,,,,,,,,35,6
ASTR,Athamantis,0,59 km,2.382 AU,0.061,9.443°,139.1°,239.9°,116.2°,2.695 g/cm3,,,,,,,,,,,,36,6
ASTR,Iris,0,100 km,2.387 AU,0.23,5.519°,145.4°,259.5°,207.9°,2.98 g/cm3,,,,,,,,,,,,37,6
ASTR,Metis,0,87 km,2.387 AU,0.123,5.577°,5.75°,68.87°,345.43°,3.53 g/cm3,,,,,,,,,,,,38,6
ASTR,Ausonia,0,47 km,2.395 AU,0.127,5.776°,295.78°,337.75°,340.16°,3.21 g/cm3,,,,,,,,,,,,39,6
ASTR,Nausikaa,0,52 km,2.403 AU,0.246,6.814°,30.067°,343.25°,94.342°,4.64 g/cm3,,,,,,,,,,,,40,6
ASTR,Massalia,0,73 km,2.409 AU,0.142,0.709°,256.58°,206.11°,12.443°,3.54 g/cm3,,,,,,,,,,,,41,6
ASTR,Hebe,0,98 km,2.43 AU,0.203,14.736°,239.59°,138.63°,144°,3.18 g/cm3,,,,,,,,,,,,42,6
ASTR,Beatrix,0,41 km,2.432 AU,0.082,4.966°,167.170°,27.8°,141.862°,?,,,,,,,,,,,,43,6
ASTR,Lutetia,0,49 km,2.435 AU,0.163,3.064°,249.997°,80.867°,87.976°,3.4 g/cm3,,,,,,,,,,,,44,6
ASTR,Fortuna,0,106 km,2.441 AU,0.159,1.573°,182.091°,211.379°,268.398°,2.25 g/cm3,,,,,,,,,,,,45,6
ASTR,Isis,0,51 km,2.442 AU,0.223,8.53°,236.626°,84.398°,121.874°,2.78 g/cm3,,,,,,,,,,,,46,6
ASTR,Parthenope,0,75 km,2.453 AU,0.099,4.632°,196.071°,125.506°,71.503°,3.24 g/cm3,,,,,,,,,,,,47,6
NEO,2024 YR4,0,30 m,2.516 AU,0.662,3.408°,134.361°,271.366°,40.4°,?,,,,,,,,,,,,48,4
ASTR,Hestia,0,62 km,2.526 AU,0.172,2.342°,176.882°,181.168°,45.401°,5.81 g/cm3,,,,,,,,,,,,49,6
NEO,Toutatis,0,1 km,2.532 AU,0.629,0.446°,278.75°,124.3°,5.122°,2.5 g/cm3,,,,,,,,,,,,50,4
ASTR,Julia,0,70 km,2.55 AU,0.184,16.128°,45.461°,311.563°,255.367°,3.334 g/cm3,,,,,,,,,,,,51,6
ASTR,Faïna,0,55 km,2.552 AU,0.151,15.6°,302.26°,78.849°,293.41°,5.05 g/cm3,,,,,,,,,,,,52,6
ASTR,Amphitrite,0,102 km,2.554 AU,0.074,6.077°,62.01°,356.26°,48.4°,2.61 g/cm3,,,,,,,,,,,,53,6
ASTR,Sophrosyne,0,55 km,2.563 AU,0.117,11.602°,84.716°,345.986°,229.885°,1.713 g/cm3,,,,,,,,,,,,54,6
ASTR,Astraea,0,63 km,2.574 AU,0.191,5.368°,358.75°,141.58°,186.83°,3.501 g/cm3,,,,,,,,,,,,55,6
ASTR,Boliviana,0,64 km,2.574 AU,0.187,12.765°,181.663°,230.828°,218.927°,?,,,,,,,,,,,,56,6
ASTR,Aspasia,0,84 km,2.575 AU,0.073,11.262°,353.72°,242.19°,260.362°,4.1 g/cm3,,,,,,,,,,,,57,6
ASTR,Egeria,0,101 km,2.578 AU,0.085,16.532°,79.222°,43.208°,305.547°,2.765 g/cm3,,,,,,,,,,,,58,6
ASTR,Irene,0,76 km,2.585 AU,0.168,9.106°,96.473°,86.493°,326.489°,3.172 g/cm3,,,,,,,,,,,,59,6
ASTR,Thia,0,63 km,2.586 AU,0.243,11.937°,308.65°,255.19°,336.81°,1.44 g/cm3,,,,,,,,,,,,60,6
ASTR,Aegina,0,55 km,2.591 AU,0.105,2.109°,73.371°,10.806°,183.458°,?,,,,,,,,,,,,61,6
ASTR,Ate,0,72 km,2.593 AU,0.103,4.932°,166.424°,305.757°,190.607°,1.15 g/cm3,,,,,,,,,,,,62,6
ASTR,Melete,0,57 km,2.595 AU,0.238,8.072°,103.648°,193.478°,267.781°,6 g/cm3,,,,,,,,,,,,63,6
ASTR,Desiderata,0,63 km,2.598 AU,0.313,18.344°,237.424°,48.049°,301.2°,1.454 g/cm3,,,,,,,,,,,,64,6
ASTR,Aurelia,0,74 km,2.598 AU,0.251,3.925°,44.326°,229.14°,297.81°,1.72 g/cm3,,,,,,,,,,,,65,6
ASTR,Panopaea,0,61 km,2.615 AU,0.182,11.584°,256.016°,47.783°,264.193°,3.48 g/cm3,,,,,,,,,,,,66,6
ASTR,Prokne,0,82 km,2.616 AU,0.238,18.509°,163.24°,159.32°,42.282°,1.03 g/cm3,,,,,,,,,,,,67,6
ASTR,Diana,0,62 km,2.62 AU,0.207,8.688°,151.423°,333.582°,353.808°,1.28 g/cm3,,,,,,,,,,,,68,6
ASTR,Thalia,0,54 km,2.628 AU,0.233,10.145°,59.311°,67.228°,328.687°,3.07 g/cm3,,,,,,,,,,,,69,6
ASTR,Eva,0,52 km,2.634 AU,0.346,24.456°,283.956°,76.852°,219.547°,1.68 g/cm3,,,,,,,,,,,,70,6
ASTR,Fides,0,54 km,2.643 AU,0.176,3.071°,62.327°,7.267°,303.436°,2.906 g/cm3,,,,,,,,,,,,71,6
ASTR,Eunomia,0,135 km,2.644 AU,0.186,11.732°,97.577°,293.399°,148.829°,3.035 g/cm3,,,,,,,,,,,,72,6
ASTR,Mathilde,0,26 km,2.648 AU,0.265,6.743°,157.396°,179.589°,170.584°,1.3 g/cm3,,,,,,,,,,,,73,6
ASTR,Hedwig,0,58 km,2.651 AU,0.073,10.924°,0.203°,286.382°,277.359°,?,,,,,,,,,,,,74,6
ASTR,Io,0,85 km,2.653 AU,0.194,11.961°,123.11°,203.12°,83.678°,2.14 g/cm3,,,,,,,,,,,,75,6
ASTR,Vibilia,0,70 km,2.657 AU,0.234,4.812°,294.36°,76.204°,230.96°,2.99 g/cm3,,,,,,,,,,,,76,6
ASTR,Asterope,0,51 km,2.66 AU,0.1,7.683°,125.128°,222.017°,138.789°,?,,,,,,,,,,,,77,6
NEO,Ganymed,0,18 km,2.663 AU,0.534,26.693°,132.45°,215.55°,183.36°,?,,,,,,,,,,,,78,4
ASTR,Lumen,0,65 km,2.665 AU,0.215,11.897°,58.108°,318.504°,292.477°,4.175 g/cm3,,,,,,,,,,,,79,6
⚵,Juno,0,127 km,2.67 AU,0.256,12.991°,247.74°,169.84°,37.02°,3.175 g/cm3,,,,,,,,,,,,80,6
ASTR,Klotho,0,41 km,2.672 AU,0.255,11.783°,268.687°,159.705°,85.017°,4.16 g/cm3,,,,,,,,,,,,81,6
ASTR,Adeona,0,72 km,2.674 AU,0.144,12.634°,44.023°,77.421°,233.709°,1.35 g/cm3,,,,,,,,,,,,82,6
ASTR,Bamberga,0,114 km,2.682 AU,0.34,11.101°,44.241°,327.883°,225.419°,1.595 g/cm3,,,,,,,,,,,,83,6
ASTR,Cava,0,58 km,2.683 AU,0.246,9.841°,337.156°,90.876°,219.54°,?,,,,,,,,,,,,84,6
ASTR,Circe,0,57 km,2.687 AU,0.105,5.498°,330.233°,184.442°,39.805°,4.83 g/cm3,,,,,,,,,,,,85,6
ASTR,Ianthe,0,53 km,2.688 AU,0.186,15.578°,158.686°,354°,262.019°,1.42 g/cm3,,,,,,,,,,,,86,6
